"name" "party" "age" "sex"
"ANDREA CAUSIN" "Scelta Civica per Monti" "49" "M"
"ANDREA MAZZIOTTI DI CELSO" "Scelta Civica per Monti" "55" "M"
"ANDREA ROMANO" "Scelta Civica per Monti" "54" "M"
"ANDREA VECCHIO" "Scelta Civica per Monti" "82" "M"
"ANGELO ANTONIO D'AGOSTINO" "Scelta Civica per Monti" "60" "M"
"ANTIMO CESARO" "Scelta Civica per Monti" "53" "M"
"BRUNO MOLEA" "Scelta Civica per Monti" "66" "M"
"ENRICO ZANETTI" "Scelta Civica per Monti" "48" "M"
"GIANFRANCO LIBRANDI" "Scelta Civica per Monti" "67" "M"
"GIOVANNI FALCONE" "Scelta Civica per Monti" "56" "M"
"GIOVANNI MONCHIERO" "Scelta Civica per Monti" "75" "M"
"GIOVANNI PALLADINO" "Scelta Civica per Monti" "47" "M"
"GIULIO CESARE SOTTANELLI" "Scelta Civica per Monti" "51" "M"
"GIUSEPPE STEFANO QUINTARELLI" "Scelta Civica per Monti" "56" "M"
"ILARIA CAPUA" "Scelta Civica per Monti" "55" "F"
"ILARIA CARLA ANNA BORLETTI DELL'ACQUA" "Scelta Civica per Monti" "66" "F"
"IRENE TINAGLI" "Scelta Civica per Monti" "47" "F"
"LORENZO CESA" "Scelta Civica per Monti" "70" "M"
"LUCIANO CIMMINO" "Scelta Civica per Monti" "77" "M"
"MARIA VALENTINA VEZZALI" "Scelta Civica per Monti" "47" "F"
"MARIANO RABINO" "Scelta Civica per Monti" "51" "M"
"MARIO CATANIA" "Scelta Civica per Monti" "69" "M"
"PAOLO VITELLI" "Scelta Civica per Monti" "74" "M"
"PIERPAOLO VARGIU" "Scelta Civica per Monti" "64" "M"
"RENATO BALDUZZI" "Scelta Civica per Monti" "66" "M"
"ROBERTA OLIARO" "Scelta Civica per Monti" "56" "F"
"SALVATORE MATARRESE" "Scelta Civica per Monti" "59" "M"
"STEFANO DAMBRUOSO" "Scelta Civica per Monti" "59" "M"
"ALAN FERRARI" "Partito Democratico" "46" "M"
"ALBERTO LOSACCO" "Partito Democratico" "51" "M"
"ALBERTO PAGANI" "Partito Democratico" "50" "M"
"ALESSANDRA MORETTI" "Partito Democratico" "48" "F"
"ALESSANDRA TERROSI" "Partito Democratico" "54" "F"
"ALESSANDRO BRATTI" "Partito Democratico" "63" "M"
"ALESSANDRO MAZZOLI" "Partito Democratico" "49" "M"
"ALESSANDRO NACCARATO" "Partito Democratico" "52" "M"
"ALESSIA MARIA MOSCA" "Partito Democratico" "46" "F"
"ALESSIA MORANI" "Partito Democratico" "45" "F"
"ALESSIA ROTTA" "Partito Democratico" "46" "F"
"ALFREDO BAZOLI" "Partito Democratico" "52" "M"
"ALFREDO D'ATTORRE" "Partito Democratico" "48" "M"
"ANDREA DE MARIA" "Partito Democratico" "55" "M"
"ANDREA FERRO" "Partito Democratico" "49" "M"
"ANDREA GIORGIS" "Partito Democratico" "56" "M"
"ANDREA MANCIULLI" "Partito Democratico" "52" "M"
"ANDREA MARTELLA" "Partito Democratico" "53" "M"
"ANDREA ORLANDO" "Partito Democratico" "52" "M"
"ANDREA RIGONI" "Partito Democratico" "61" "M"
"ANGELO CAPODICASA" "Partito Democratico" "72" "M"
"ANGELO RUGHETTI" "Partito Democratico" "54" "M"
"ANGELO SENALDI" "Partito Democratico" "59" "M"
"ANNA ASCANI" "Partito Democratico" "34" "F"
"ANNA GIACOBBE" "Partito Democratico" "63" "F"
"ANNA MARGHERITA MIOTTO" "Partito Democratico" "73" "F"
"ANNA MARIA CARLONI" "Partito Democratico" "66" "F"
"ANNA ROSSOMANDO" "Partito Democratico" "58" "F"
"ANTONELLA INCERTI" "Partito Democratico" "61" "F"
"ANTONELLO GIACOMELLI" "Partito Democratico" "59" "M"
"ANTONINO MOSCATT" "Partito Democratico" "41" "M"
"ANTONIO CASTRICONE" "Partito Democratico" "47" "M"
"ANTONIO CUOMO" "Partito Democratico" "64" "M"
"ANTONIO DECARO" "Partito Democratico" "51" "M"
"ANTONIO MICHELE BOCCUZZI" "Partito Democratico" "48" "M"
"ANTONIO MISIANI" "Partito Democratico" "53" "M"
"ASSUNTA TARTAGLIONE" "Partito Democratico" "51" "F"
"BARBARA MARIA SIMONETTA POLLASTRINI" "Partito Democratico" "74" "F"
"BARBATO IANNUZZI" "Partito Democratico" "61" "M"
"BRUNO CENSORE" "Partito Democratico" "63" "M"
"CAMILLA SGAMBATO" "Partito Democratico" "58" "F"
"CARLO DELL'ARINGA" "Partito Democratico" "81" "M"
"CARLO GALLI" "Partito Democratico" "71" "M"
"CATERINA BINI" "Partito Democratico" "46" "F"
"CATERINA PES" "Partito Democratico" "61" "F"
"CECILIA VENTRICELLI" "Partito Democratico" "35" "F"
"CESARE DAMIANO" "Partito Democratico" "73" "M"
"CHIARA BRAGA" "Partito Democratico" "42" "F"
"CHIARA GRIBAUDO" "Partito Democratico" "40" "F"
"CHIARA SCUVERA" "Partito Democratico" "46" "F"
"CINZIA MARIA FONTANA" "Partito Democratico" "58" "F"
"COLOMBA MONGIELLO" "Partito Democratico" "60" "F"
"CRISTINA BARGERO" "Partito Democratico" "46" "F"
"DANIELA CARDINALE" "Partito Democratico" "39" "F"
"DANIELA MATILDE MARIA GASPARINI" "Partito Democratico" "71" "F"
"DANIELA SBROLLINI" "Partito Democratico" "50" "F"
"DANIELE MARANTELLI" "Partito Democratico" "68" "M"
"DANIELE MONTRONI" "Partito Democratico" "60" "M"
"DANILO LEVA" "Partito Democratico" "43" "M"
"DARIO FRANCESCHINI" "Partito Democratico" "63" "M"
"DARIO GINEFRA" "Partito Democratico" "54" "M"
"DARIO NARDELLA" "Partito Democratico" "46" "M"
"DARIO PARRINI" "Partito Democratico" "48" "M"
"DAVID ERMINI" "Partito Democratico" "62" "M"
"DAVIDE BARUFFI" "Partito Democratico" "47" "M"
"DAVIDE FARAONE" "Partito Democratico" "46" "M"
"DAVIDE MATTIELLO" "Partito Democratico" "49" "M"
"DAVIDE ZOGGIA" "Partito Democratico" "57" "M"
"DELIA MURER" "Partito Democratico" "66" "F"
"DEMETRIO BATTAGLIA" "Partito Democratico" "62" "M"
"DIEGO CRIVELLARI" "Partito Democratico" "46" "M"
"DIEGO ZARDINI" "Partito Democratico" "43" "M"
"DONATA LENZI" "Partito Democratico" "65" "F"
"DONATELLA FERRANTI" "Partito Democratico" "64" "F"
"EDOARDO FANUCCI" "Partito Democratico" "38" "M"
"EDOARDO PATRIARCA" "Partito Democratico" "68" "M"
"ELENA CARNEVALI" "Partito Democratico" "57" "F"
"ELEONORA CIMBRO" "Partito Democratico" "43" "F"
"ELISA MARIANO" "Partito Democratico" "44" "F"
"ELISA SIMONI" "Partito Democratico" "48" "F"
"EMANUELE CANI" "Partito Democratico" "53" "M"
"EMANUELE FIANO" "Partito Democratico" "58" "M"
"EMANUELE LODOLINI" "Partito Democratico" "44" "M"
"EMILIANO MINNUCCI" "Partito Democratico" "47" "M"
"EMMA PETITTI" "Partito Democratico" "51" "F"
"ENRICO BORGHI" "Partito Democratico" "54" "M"
"ENRICO GASBARRA" "Partito Democratico" "59" "M"
"ENRICO LETTA" "Partito Democratico" "55" "M"
"ENZO LATTUCA" "Partito Democratico" "33" "M"
"ERMETE REALACCI" "Partito Democratico" "66" "M"
"ERNESTO CARBONE" "Partito Democratico" "47" "M"
"ERNESTO MAGORNO" "Partito Democratico" "60" "M"
"ERNESTO PREZIOSI" "Partito Democratico" "66" "M"
"ETTORE GUGLIELMO EPIFANI" "Partito Democratico" "71" "M"
"ETTORE ROSATO" "Partito Democratico" "53" "M"
"EZIO PRIMO CASATI" "Partito Democratico" "65" "M"
"FABIO MELILLI" "Partito Democratico" "63" "M"
"FABIO PORTA" "Partito Democratico" "58" "M"
"FABRIZIA GIULIANI" "Partito Democratico" "55" "F"
"FAUSTO RACITI" "Partito Democratico" "37" "M"
"FEDERICA MOGHERINI" "Partito Democratico" "48" "F"
"FEDERICO GELLI" "Partito Democratico" "59" "M"
"FEDERICO GINATO" "Partito Democratico" "47" "M"
"FEDERICO MASSA" "Partito Democratico" "65" "M"
"FERDINANDO AIELLO" "Partito Democratico" "49" "M"
"FILIPPO CRIMI'" "Partito Democratico" "34" "M"
"FILIPPO FOSSATI" "Partito Democratico" "61" "M"
"FLAVIA PICCOLI NARDELLI" "Partito Democratico" "75" "F"
"FLORIANA CASELLATO" "Partito Democratico" "65" "F"
"FRANCA MARIA GRAZIA BIONDELLI" "Partito Democratico" "64" "F"
"FRANCANTONIO GENOVESE" "Partito Democratico" "53" "M"
"FRANCESCA BONOMO" "Partito Democratico" "37" "F"
"FRANCESCA LA MARCA" "Partito Democratico" "46" "F"
"FRANCESCO BOCCIA" "Partito Democratico" "53" "M"
"FRANCESCO BONIFAZI" "Partito Democratico" "45" "M"
"FRANCESCO CASSANO" "Partito Democratico" "78" "M"
"FRANCESCO LAFORGIA" "Partito Democratico" "43" "M"
"FRANCESCO MONACO" "Partito Democratico" "70" "M"
"FRANCESCO PRINA" "Partito Democratico" "66" "M"
"FRANCESCO RIBAUDO" "Partito Democratico" "62" "M"
"FRANCESCO SANNA" "Partito Democratico" "56" "M"
"FRANCESCO SAVERIO GAROFANI" "Partito Democratico" "59" "M"
"FRANCO VAZIO" "Partito Democratico" "59" "M"
"FULVIO BONAVITACOLA" "Partito Democratico" "64" "M"
"GEA SCHIRO'" "Partito Democratico" "58" "F"
"GEROLAMO GRASSI" "Partito Democratico" "63" "M"
"GIACOMINO TARICCO" "Partito Democratico" "62" "M"
"GIACOMO ANTONIO PORTAS" "Partito Democratico" "62" "M"
"GIAMPAOLO GALLI" "Partito Democratico" "70" "M"
"GIAMPIERO GIULIETTI" "Partito Democratico" "53" "M"
"GIAN MARIO FRAGOMELI" "Partito Democratico" "48" "M"
"GIAN PIERO SCANU" "Partito Democratico" "68" "M"
"GIAN PIETRO DAL MORO" "Partito Democratico" "63" "M"
"GIANCLAUDIO BRESSA" "Partito Democratico" "65" "M"
"GIANLUCA BENAMATI" "Partito Democratico" "59" "M"
"GIANLUCA FUSILLI" "Partito Democratico" "52" "M"
"GIANNA MALISANI" "Partito Democratico" "67" "F"
"GIANPIERO BOCCI" "Partito Democratico" "59" "M"
"GIORGIO BRANDOLIN" "Partito Democratico" "70" "M"
"GIORGIO PICCOLO" "Partito Democratico" "74" "M"
"GIORGIO ZANIN" "Partito Democratico" "57" "M"
"GIOVANNA MARTELLI" "Partito Democratico" "58" "F"
"GIOVANNA PALMA" "Partito Democratico" "47" "F"
"GIOVANNA SANNA" "Partito Democratico" "61" "F"
"GIOVANNI CUPERLO" "Partito Democratico" "60" "M"
"GIOVANNI FARINA" "Partito Democratico" "80" "M"
"GIOVANNI LEGNINI" "Partito Democratico" "62" "M"
"GIOVANNI MARIO SALVINO BURTONE" "Partito Democratico" "65" "M"
"GIOVANNI SANGA" "Partito Democratico" "59" "M"
"GIUDITTA PINI" "Partito Democratico" "37" "F"
"GIULIA NARDUOLO" "Partito Democratico" "37" "F"
"GIUSEPPE BERRETTA" "Partito Democratico" "51" "M"
"GIUSEPPE CIVATI" "Partito Democratico" "46" "M"
"GIUSEPPE FIORONI" "Partito Democratico" "63" "M"
"GIUSEPPE GUERINI" "Partito Democratico" "45" "M"
"GIUSEPPE LAURICELLA" "Partito Democratico" "61" "M"
"GIUSEPPE ROMANINI" "Partito Democratico" "64" "M"
"GIUSEPPE ZAPPULLA" "Partito Democratico" "64" "M"
"GIUSEPPINA PICIERNO" "Partito Democratico" "40" "F"
"GREGORIO GITTI" "Partito Democratico" "57" "M"
"GUGLIELMO VACCARO" "Partito Democratico" "54" "M"
"GUIDO GALPERTI" "Partito Democratico" "62" "M"
"ILEANA ARGENTIN" "Partito Democratico" "58" "F"
"IRENE MANZI" "Partito Democratico" "44" "F"
"ITZHAK YORAM GUTGELD" "Partito Democratico" "62" "M"
"IVAN SCALFAROTTO" "Partito Democratico" "56" "M"
"KASHETU KYENGE" "Partito Democratico" "57" "F"
"KHALID CHAOUKI" "Partito Democratico" "38" "M"
"LAPO PISTELLI" "Partito Democratico" "57" "M"
"LAURA COCCIA" "Partito Democratico" "35" "F"
"LAURA GARAVINI" "Partito Democratico" "55" "F"
"LAURA VENITTELLI" "Partito Democratico" "61" "F"
"LEONARDO IMPEGNO" "Partito Democratico" "47" "M"
"LIA QUARTAPELLE PROCOPIO" "Partito Democratico" "39" "F"
"LORENZA BONACCORSI" "Partito Democratico" "53" "F"
"LORENZO BASSO" "Partito Democratico" "45" "M"
"LORENZO BECATTINI" "Partito Democratico" "66" "M"
"LORENZO GUERINI" "Partito Democratico" "55" "M"
"LUCA LOTTI" "Partito Democratico" "39" "M"
"LUCA PASTORINO" "Partito Democratico" "50" "M"
"LUCA SANI" "Partito Democratico" "56" "M"
"LUCIANO AGOSTINI" "Partito Democratico" "63" "M"
"LUDOVICO VICO" "Partito Democratico" "69" "M"
"LUIGI BOBBA" "Partito Democratico" "66" "M"
"LUIGI DALLAI" "Partito Democratico" "53" "M"
"LUIGI FAMIGLIETTI" "Partito Democratico" "46" "M"
"LUIGI TARANTO" "Partito Democratico" "61" "M"
"LUISA BOSSA" "Partito Democratico" "69" "F"
"LUISELLA ALBANELLA" "Partito Democratico" "67" "F"
"MAGDA CULOTTA" "Partito Democratico" "36" "F"
"MAINO MARCHI" "Partito Democratico" "64" "M"
"MANUELA GHIZZONI" "Partito Democratico" "60" "F"
"MARA CAROCCI" "Partito Democratico" "67" "F"
"MARCO BERGONZI" "Partito Democratico" "58" "M"
"MARCO CARRA" "Partito Democratico" "56" "M"
"MARCO CAUSI" "Partito Democratico" "65" "M"
"MARCO DI MAIO" "Partito Democratico" "38" "M"
"MARCO DI STEFANO" "Partito Democratico" "57" "M"
"MARCO DONATI" "Partito Democratico" "41" "M"
"MARCO FEDI" "Partito Democratico" "63" "M"
"MARCO MARCHETTI" "Partito Democratico" "44" "M"
"MARCO MELONI" "Partito Democratico" "50" "M"
"MARCO MICCOLI" "Partito Democratico" "60" "M"
"MARIA AMATO" "Partito Democratico" "63" "F"
"MARIA ANNA MADIA" "Partito Democratico" "41" "F"
"MARIA ANTEZZA" "Partito Democratico" "56" "F"
"MARIA CHIARA CARROZZA" "Partito Democratico" "56" "F"
"MARIA CHIARA GADDA" "Partito Democratico" "41" "F"
"MARIA COSCIA" "Partito Democratico" "73" "F"
"MARIA ELENA BOSCHI" "Partito Democratico" "40" "F"
"MARIA GAETANA GRECO" "Partito Democratico" "63" "F"
"MARIA GRAZIA ROCCHI" "Partito Democratico" "66" "F"
"MARIA IACONO" "Partito Democratico" "59" "F"
"MARIA MARZANO" "Partito Democratico" "51" "F"
"MARIA TERESA AMICI" "Partito Democratico" "63" "F"
"MARIA TINDARA GULLO" "Partito Democratico" "57" "F"
"MARIALUISA GNECCHI" "Partito Democratico" "68" "F"
"MARIASTELLA BIANCHI" "Partito Democratico" "52" "F"
"MARIETTA TIDEI" "Partito Democratico" "46" "F"
"MARILENA FABBRI" "Partito Democratico" "52" "F"
"MARINA BERLINGHIERI" "Partito Democratico" "53" "F"
"MARINA SERENI" "Partito Democratico" "61" "F"
"MARIO TULLO" "Partito Democratico" "62" "M"
"MARTA LEONORI" "Partito Democratico" "44" "F"
"MASSIMILIANO MANFREDI" "Partito Democratico" "48" "M"
"MASSIMO BRAY" "Partito Democratico" "62" "M"
"MASSIMO FIORIO" "Partito Democratico" "53" "M"
"MASSIMO PAOLUCCI" "Partito Democratico" "62" "M"
"MATTEO BIFFONI" "Partito Democratico" "47" "M"
"MATTEO COLANINNO" "Partito Democratico" "51" "M"
"MATTEO MAURI" "Partito Democratico" "51" "M"
"MATTEO ORFINI" "Partito Democratico" "47" "M"
"MATTEO RICHETTI" "Partito Democratico" "47" "M"
"MAURO GUERRA" "Partito Democratico" "64" "M"
"MICAELA CAMPANA" "Partito Democratico" "44" "F"
"MICHELA ROSTAN" "Partito Democratico" "39" "F"
"MICHELE ANZALDI" "Partito Democratico" "61" "M"
"MICHELE BORDO" "Partito Democratico" "48" "M"
"MICHELE MOGNATO" "Partito Democratico" "60" "M"
"MICHELE NICOLETTI" "Partito Democratico" "65" "M"
"MICHELE PELILLO" "Partito Democratico" "64" "M"
"MICHELE POMPEO META" "Partito Democratico" "68" "M"
"MICHELE RAGOSTA" "Partito Democratico" "66" "M"
"MIRIAM COMINELLI" "Partito Democratico" "40" "F"
"MONICA GREGORI" "Partito Democratico" "41" "F"
"NICODEMO NAZZARENO OLIVERIO" "Partito Democratico" "65" "M"
"NICOLA STUMPO" "Partito Democratico" "52" "M"
"PAOLA BOLDRINI" "Partito Democratico" "61" "F"
"PAOLA BRAGANTINI" "Partito Democratico" "47" "F"
"PAOLA DE MICHELI" "Partito Democratico" "48" "F"
"PAOLO BENI" "Partito Democratico" "67" "M"
"PAOLO BOLOGNESI" "Partito Democratico" "77" "M"
